,provincia_iso,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02
3900,A,0,0,0,1,1,2,1,0,0,0,2,0,0,2,2,1,1,1,2,2,3,2,1,2,8,2,3,4,9,10,18,21,14,17,26,30,22,48,67,120,120,137,181,183,214,234,209,194,208,239,166,163,166,121,135,117,119,100,60,73,77,75,58,63,37,28,39,28,39,39,35,27,10,30,29,38,43,26,73,16,29,92,84,109,127,38,16,18,49,63,62,38,49,23,18,13,4,9,8,3,3,7,8,4,10,2,5,2,3,4,6,3,8,1,0,1,7,3,1,2,0,0,4,1,1,1,1,1,1,2,2,0,0,3,0,0,2,1,2,2,1,1,3,1,1,1,2,1,0,2,2,3,5,5,1,0,3,3,4,9,6,4,6,6,14,12,22,16,35,26,22,30,43,38,31,33,43,49,53,40,60,34,31,38,25
3901,AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,4,10,9,9,13,10,14,25,28,31,43,64,91,133,113,187,147,143,153,147,166,141,130,145,141,106,148,101,80,91,102,93,75,88,50,112,89,77,71,137,144,53,32,42,74,52,35,30,33,35,52,41,69,50,32,36,26,53,69,53,23,42,7,8,22,5,2,0,0,1,4,0,0,1,4,3,5,3,0,2,2,7,3,3,1,4,7,5,6,2,9,5,1,5,5,3,6,5,1,0,1,1,0,0,1,3,1,0,1,1,0,2,2,0,0,1,1,6,4,0,4,2,2,2,1,4,1,0,0,1,0,1,2,1,0,2,2,3,6,3,3,1,2,3,5,1,6,5,3,2,5,6,3,6,4,3
3902,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,3,9,8,12,11,16,11,20,24,12,14,22,30,32,17,23,29,16,12,19,20,26,9,14,16,16,10,5,6,4,6,5,6,5,6,5,5,32,7,3,4,7,9,6,25,9,10,7,1,0,3,5,7,9,11,6,3,4,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,2,3,1,2,2,0,2,0,3,1,4,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,5,0,0,1,4,5,3,4,9,8,3,2,5,16,9,30,24,19,11,54,13,13,11,32,57,57,19,22,49,38,43,22,37,31,38,72,57,43,83
3903,AV,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,5,1,0,2,4,4,3,6,17,21,23,24,65,63,28,46,78,75,95,71,79,63,55,56,89,45,64,69,28,52,22,55,49,39,37,31,40,24,63,58,65,34,23,32,35,16,21,15,15,9,13,6,12,16,8,18,6,2,15,11,5,4,9,7,5,1,1,0,4,0,0,1,1,4,2,1,1,0,9,0,0,1,3,4,5,4,5,4,2,2,12,3,4,2,2,2,6,1,1,2,1,1,0,3,2,0,2,2,0,0,1,3,2,2,4,1,1,2,2,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0
3904,B,0,7,0,2,4,2,1,1,0,0,3,1,6,7,1,9,5,2,4,1,11,12,9,7,11,18,28,14,29,23,80,71,73,124,154,236,254,296,494,688,685,910,1189,1121,1195,1413,1339,1418,1346,1608,1192,1090,1230,1167,1140,1165,1006,1091,832,985,927,1050,870,974,813,701,651,577,830,848,845,931,512,481,601,582,563,464,373,217,294,154,262,217,214,132,123,110,122,117,163,125,119,119,91,50,36,47,55,39,55,87,87,111,109,158,72,61,131,164,132,159,234,83,90,151,152,113,159,132,63,28,40,62,71,84,108,42,33,73,72,89,80,80,20,20,46,53,60,59,54,43,28,58,76,32,79,103,32,43,89,78,150,111,129,94,118,177,206,224,238,353,208,221,434,399,538,518,659,398,369,704,682,716,781,778,433,367,730,764,788,719,828,362,174
3905,BA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,1,0,1,0,4,2,2,10,17,17,30,21,22,20,33,33,32,42,57,36,53,56,37,30,38,22,15,13,20,5,38,32,32,29,18,21,6,13,17,18,16,11,29,29,15,18,15,28,7,18,24,23,25,24,11,4,8,5,16,12,16,14,1,9,12,9,14,12,7,1,4,12,16,12,12,5,3,2,4,4,6,7,3,1,1,6,4,0,4,2,1,1,1,3,2,0,0,0,0,0,0,0,0,1,0,3,2,0,1,0,1,1,0,1,1,0,0,4,3,2,7,7,2,3,3,5,2,15,5,21,45,18,11,8,3,5,7,5,2,2,5,10,5,3,3,3,4,7,11,12,15,18,9,15
3906,BI,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,1,3,0,2,3,2,6,8,7,20,14,17,18,26,22,21,43,59,99,104,122,222,192,222,340,308,285,281,327,252,226,271,227,237,200,262,180,144,190,172,170,158,205,150,165,185,174,180,136,126,95,105,87,80,81,94,122,92,35,58,67,50,59,86,39,40,27,41,33,25,30,35,21,16,16,23,20,22,16,9,17,12,19,11,11,8,4,12,3,6,8,4,6,3,5,5,1,4,0,3,0,4,7,7,6,7,6,16,9,8,7,8,7,5,5,7,7,6,8,9,0,2,1,1,2,1,5,3,2,2,2,4,4,4,2,4,6,4,16,12,9,12,26,23,33,43,40,50,80,49,67,62,90,65,58,85,45,74,58,134,83,130,112,96
3907,BU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,3,1,5,5,7,11,9,9,14,16,16,17,26,38,47,39,56,61,67,76,80,79,76,95,70,61,70,54,69,53,41,45,40,38,33,53,57,54,44,26,56,34,76,136,67,87,32,121,63,56,46,39,17,30,15,29,43,28,14,19,19,11,23,40,28,27,20,14,3,3,1,5,4,0,1,5,4,3,4,8,4,0,6,3,4,9,4,0,1,4,2,4,5,2,6,1,6,4,3,5,2,2,2,4,3,2,0,0,1,2,0,1,1,2,1,1,0,0,1,1,3,1,0,0,1,0,0,0,0,1,1,1,1,3,0,1,2,0,1,1,0,7,2,7,2,8,3,7,10,7,5,10,11,9,4,24,55,12,21
3908,C,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,3,0,2,7,9,6,7,15,16,17,36,53,52,75,94,91,110,162,143,137,117,186,113,114,134,114,127,97,141,115,92,119,49,115,88,89,54,68,108,78,57,71,44,32,30,77,66,161,66,65,42,24,47,46,53,62,36,13,12,23,38,63,60,60,71,41,22,31,21,18,16,10,5,4,7,5,4,4,2,2,4,5,6,10,0,5,4,2,1,0,1,1,0,1,1,0,0,0,2,0,1,2,1,0,1,1,0,0,1,0,2,0,0,5,0,0,0,0,2,0,2,1,1,1,0,2,1,1,1,1,0,2,1,0,6,0,1,7,7,6,4,3,5,2,3,10,8,9,2,4,11,8,13,20,21,24,6
3909,CA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,3,5,2,1,2,3,7,12,20,31,26,33,48,56,70,55,49,55,68,67,41,56,47,43,40,30,34,35,39,21,29,20,20,17,12,33,30,33,7,22,13,21,12,12,13,12,10,17,7,7,10,8,17,15,15,5,5,10,14,11,7,7,1,2,10,2,0,2,0,0,2,4,3,2,1,3,1,2,0,4,2,0,0,0,2,3,2,1,1,0,3,2,1,3,0,2,0,0,0,1,1,1,1,0,0,1,0,2,13,1,1,0,1,1,3,0,3,1,0,3,1,1,3,0,3,0,0,2,3,2,1,0,0,4,2,2,1,2,3,4,3,3,1,3,7,4,7,3,7,3,15,12,13,8
3910,CC,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,3,0,2,6,2,5,6,9,7,6,16,13,17,27,23,55,56,71,66,65,83,68,88,79,102,87,69,172,119,120,97,86,79,46,86,54,91,43,70,46,34,54,64,68,58,76,51,36,38,55,81,49,81,53,40,26,41,61,53,57,44,14,11,20,40,59,70,41,9,10,20,23,29,19,35,4,4,26,19,8,12,16,1,1,3,10,3,4,4,4,4,6,4,0,3,5,1,3,8,3,2,0,0,1,1,2,1,0,1,0,0,2,0,7,3,2,0,4,1,5,0,4,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,5,11,0,2,2,4,6,1,1,7,1,4,0,10,2,3,19,4,3
3911,CE,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,3,1,6,4,2,6,5,6,5,7,7,7,9,8,9,5,2,5,7,5,2,8,2,2,2,2,3,2,1,3,1,2,0,2,0,0,1,1,1,0,1,2,3,3,1,1,0,1,2,4,0,1,2,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,2,3,1,1,0,5,2,5,1,2,5,2,3,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3912,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,3,8,2,4,5,14,23,22,29,54,33,40,45,58,40,42,52,49,44,66,48,63,93,63,69,42,63,35,49,28,19,45,26,27,20,8,6,7,11,13,9,11,43,15,21,17,7,7,14,14,18,14,4,2,2,10,10,18,13,11,7,6,6,5,7,4,1,0,0,0,3,5,1,0,2,1,1,0,1,0,0,0,0,1,1,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,2,0,0,1,2,4,0,11,11,30,25,19,11,6,7,8,6,6,7,11,17,16,28,26,17,9
